date, url ,Img,captured, broken
1999/12/06,http://www.gocomics.com/garfieldespanol /1999/12/06,http://assets.amuniversal.com/337e4da05f6d012ee3c100163e41dd5b,True,got it
1999/12/07,http://www.gocomics.com/garfieldespanol /1999/12/07,http://assets.amuniversal.com/7f82e0d05f7d012ee3c100163e41dd5b,True,got it
1999/12/08,http://www.gocomics.com/garfieldespanol /1999/12/08,http://assets.amuniversal.com/cd4a38505f67012ee3c100163e41dd5b,True,got it
1999/12/09,http://www.gocomics.com/garfieldespanol /1999/12/09,http://assets.amuniversal.com/56ad91005f87012ee3c100163e41dd5b,True,got it
1999/12/10,http://www.gocomics.com/garfieldespanol /1999/12/10,http://assets.amuniversal.com/b51edd205ce4012ee3bd00163e41dd5b,True,got it
1999/12/11,http://www.gocomics.com/garfieldespanol /1999/12/11,http://assets.amuniversal.com/624528805d30012ee3bd00163e41dd5b,True,got it
1999/12/12,http://www.gocomics.com/garfieldespanol /1999/12/12,,False,not in website
1999/12/13,http://www.gocomics.com/garfieldespanol /1999/12/13,http://assets.amuniversal.com/23a93f705f6e012ee3c100163e41dd5b,True,got it
1999/12/14,http://www.gocomics.com/garfieldespanol /1999/12/14,http://assets.amuniversal.com/0e7663505f32012ee3c100163e41dd5b,True,got it
1999/12/15,http://www.gocomics.com/garfieldespanol /1999/12/15,http://assets.amuniversal.com/cd99e8b05f76012ee3c100163e41dd5b,True,got it
1999/12/16,http://www.gocomics.com/garfieldespanol /1999/12/16,http://assets.amuniversal.com/e03ebe805d16012ee3bd00163e41dd5b,True,got it
1999/12/17,http://www.gocomics.com/garfieldespanol /1999/12/17,http://assets.amuniversal.com/78f1b7d05f59012ee3c100163e41dd5b,True,got it
1999/12/18,http://www.gocomics.com/garfieldespanol /1999/12/18,http://assets.amuniversal.com/d0d6aa105d30012ee3bd00163e41dd5b,True,got it
1999/12/19,http://www.gocomics.com/garfieldespanol /1999/12/19,,False,not in website
1999/12/20,http://www.gocomics.com/garfieldespanol /1999/12/20,http://assets.amuniversal.com/a74a45605f3d012ee3c100163e41dd5b,True,got it
1999/12/21,http://www.gocomics.com/garfieldespanol /1999/12/21,http://assets.amuniversal.com/097589a05f2c012ee3c100163e41dd5b,True,got it
